plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,100+30,5,100,30
102,1,0+0,1,0,0
103,1,100+60,6,100,60
104,1,100+0,4,100,0
105,1,200+60,9,200,60
106,1,200+0,7,200,0
107,1,200+30,8,200,30
108,1,0+30,2,0,30
109,1,0+60,3,0,60
201,2,200+60,9,200,60
202,2,100+30,5,100,30
203,2,0+60,3,0,60
204,2,200+30,8,200,30
205,2,0+30,2,0,30
206,2,100+0,4,100,0
207,2,100+60,6,100,60
208,2,0+0,1,0,0
209,2,200+0,7,200,0
301,3,0+30,2,0,30
302,3,200+30,8,200,30
303,3,100+0,4,100,0
304,3,0+0,1,0,0
305,3,100+60,6,100,60
306,3,200+0,7,200,0
307,3,0+60,3,0,60
308,3,100+30,5,100,30
309,3,200+60,9,200,60
401,4,200+0,7,200,0
402,4,200+30,8,200,30
403,4,200+60,9,200,60
404,4,0+0,1,0,0
405,4,0+60,3,0,60
406,4,100+30,5,100,30
407,4,0+30,2,0,30
408,4,100+0,4,100,0
409,4,100+60,6,100,60
